Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Middle East,Turkey,Baby Food,Online,C,2023-05-01,716198,2023-05-13,249,66.69,45.99,16605.81,11451.51,5154.3
South America,Colombia,Household,Online,H,2023-09-05,414551,2023-09-08,170,193.02,134.85,32813.4,22924.5,9888.9
South America,Brazil,Office Supplies,Offline,H,2023-10-17,241653,2023-10-19,235,32.07,24.62,7536.45,5785.7,1750.75
North America,United States,Clothing,Online,M,2023-09-17,124074,2023-09-30,494,150.85,79.69,74519.9,39366.86,35153.04
Asia,China,Household,Online,L,2023-06-08,937620,2023-06-21,120,101.68,56.78,12201.6,6813.6,5388.0
South America,Brazil,Household,Online,M,2023-08-08,248004,2023-08-13,133,134.81,68.66,17929.73,9131.78,8797.95
Middle East,Turkey,Clothing,Offline,M,2023-09-02,303015,2023-09-05,462,20.18,10.56,9323.16,4878.72,4444.44
Sub-Saharan Africa,Kenya,Household,Offline,M,2023-10-13,248083,2023-10-27,484,161.83,93.19,78325.72,45103.96,33221.76
Europe,Germany,Beverages,Online,H,2023-02-02,484743,2023-02-08,165,88.15,57.46,14544.75,9480.9,5063.85
Middle East,UAE,Office Supplies,Offline,C,2023-09-13,372589,2023-09-26,77,67.02,38.44,5160.54,2959.88,2200.66
South America,Chile,Baby Food,Online,C,2023-11-08,629735,2023-11-17,154,151.5,110.69,23331.0,17046.26,6284.74
North America,Mexico,Beverages,Online,M,2023-02-01,753547,2023-02-16,107,61.99,47.89,6632.93,5124.23,1508.7
Asia,Japan,Clothing,Online,C,2023-09-13,205319,2023-09-27,133,9.83,6.58,1307.39,875.14,432.25
Middle East,Saudi Arabia,Clothing,Online,C,2023-08-04,790046,2023-08-19,97,26.45,20.39,2565.65,1977.83,587.82
Sub-Saharan Africa,Nigeria,Clothing,Offline,C,2023-06-01,519554,2023-06-04,479,16.61,10.85,7956.19,5197.15,2759.04
Asia,Japan,Electronics,Online,C,2023-12-15,766302,2023-12-23,287,116.97,87.19,33570.39,25023.53,8546.86
Asia,China,Beverages,Offline,L,2023-08-24,134674,2023-08-29,331,132.0,103.8,43692.0,34357.8,9334.2
Middle East,Saudi Arabia,Household,Online,L,2023-10-31,394202,2023-11-14,31,165.39,111.32,5127.09,3450.92,1676.17
South America,Brazil,Electronics,Online,L,2023-02-17,376566,2023-02-25,403,21.38,16.26,8616.14,6552.78,2063.36
Europe,Germany,Electronics,Online,L,2023-06-18,370107,2023-06-27,201,64.16,56.97,12896.16,11450.97,1445.19
North America,Canada,Clothing,Offline,M,2023-02-14,289751,2023-02-24,78,169.71,116.16,13237.38,9060.48,4176.9
North America,Mexico,Electronics,Online,H,2023-04-23,885069,2023-05-02,343,144.95,126.66,49717.85,43444.38,6273.47
Asia,Japan,Household,Online,C,2023-09-22,215147,2023-09-27,416,161.31,123.74,67104.96,51475.84,15629.12
Europe,United Kingdom,Office Supplies,Online,M,2023-01-17,530896,2023-01-28,174,96.24,68.02,16745.76,11835.48,4910.28
Europe,France,Electronics,Offline,L,2023-02-10,232651,2023-02-22,475,121.61,94.74,57764.75,45001.5,12763.25
North America,Mexico,Beverages,Offline,H,2023-12-10,301957,2023-12-21,498,125.25,77.64,62374.5,38664.72,23709.78
Middle East,Saudi Arabia,Beverages,Offline,H,2023-09-09,818748,2023-09-12,396,97.88,82.53,38760.48,32681.88,6078.6
South America,Chile,Baby Food,Online,M,2023-06-11,641994,2023-06-26,306,42.21,31.68,12916.26,9694.08,3222.18
Europe,Italy,Clothing,Offline,M,2023-11-15,593043,2023-11-17,37,15.6,10.54,577.2,389.98,187.22
North America,United States,Household,Offline,C,2023-12-03,575022,2023-12-16,388,41.84,34.96,16233.92,13564.48,2669.44
Middle East,UAE,Household,Offline,M,2023-12-26,134733,2024-01-10,87,187.9,134.15,16347.3,11671.05,4676.25
Europe,United Kingdom,Household,Offline,H,2023-11-13,200063,2023-11-20,450,125.67,73.26,56551.5,32967.0,23584.5
Europe,Italy,Office Supplies,Offline,H,2023-05-03,737008,2023-05-13,351,162.36,99.83,56988.36,35040.33,21948.03
South America,Chile,Household,Online,C,2023-03-28,675543,2023-04-02,161,154.6,120.42,24890.6,19387.62,5502.98
Sub-Saharan Africa,South Africa,Beverages,Online,L,2023-12-18,813216,2024-01-02,210,86.39,51.45,18141.9,10804.5,7337.4
Asia,India,Beverages,Offline,H,2023-12-09,572355,2023-12-15,341,163.53,84.35,55763.73,28763.35,27000.38
North America,Mexico,Office Supplies,Offline,C,2023-12-01,294349,2023-12-10,385,44.74,24.45,17224.9,9413.25,7811.65
Asia,Japan,Electronics,Offline,L,2023-05-18,378707,2023-05-23,110,191.33,143.26,21046.3,15758.6,5287.7
North America,United States,Beverages,Offline,H,2023-03-11,710311,2023-03-25,111,127.49,112.3,14151.39,12465.3,1686.09
Asia,Japan,Beverages,Online,H,2023-08-27,726272,2023-09-02,360,122.89,94.39,44240.4,33980.4,10260.0
North America,Canada,Baby Food,Online,L,2023-06-15,876707,2023-06-21,255,9.77,5.48,2491.35,1397.4,1093.95
Sub-Saharan Africa,Ghana,Electronics,Offline,M,2023-05-07,135568,2023-05-10,116,16.83,8.78,1952.28,1018.48,933.8
Middle East,Saudi Arabia,Clothing,Offline,H,2023-03-16,708041,2023-03-27,449,91.82,78.42,41227.18,35210.58,6016.6
Europe,Italy,Clothing,Offline,M,2023-04-17,535064,2023-04-26,308,60.57,45.9,18655.56,14137.2,4518.36
Sub-Saharan Africa,Ghana,Electronics,Online,H,2023-07-16,551735,2023-07-30,93,173.81,149.2,16164.33,13875.6,2288.73
Sub-Saharan Africa,Nigeria,Electronics,Online,C,2023-08-20,329093,2023-08-23,43,121.15,97.75,5209.45,4203.25,1006.2
Middle East,Turkey,Beverages,Offline,M,2023-12-06,758713,2023-12-11,67,6.67,5.49,446.89,367.83,79.06
Europe,United Kingdom,Electronics,Online,C,2023-09-03,996128,2023-09-10,49,77.77,66.07,3810.73,3237.43,573.3
Sub-Saharan Africa,Ghana,Household,Online,L,2023-03-13,763835,2023-03-23,142,24.11,21.62,3423.62,3070.04,353.58
Middle East,Saudi Arabia,Clothing,Online,L,2023-05-12,317496,2023-05-23,200,18.66,13.06,3732.0,2612.0,1120.0
Middle East,UAE,Household,Online,L,2023-01-13,186619,2023-01-16,73,189.19,144.33,13810.87,10536.09,3274.78
Europe,France,Baby Food,Offline,L,2023-11-24,846816,2023-11-27,474,12.68,8.85,6010.32,4194.9,1815.42
Middle East,Saudi Arabia,Office Supplies,Online,L,2023-05-07,674384,2023-05-09,238,53.61,47.5,12759.18,11305.0,1454.18
Asia,India,Electronics,Online,L,2023-03-08,400522,2023-03-19,356,62.29,33.24,22175.24,11833.44,10341.8
South America,Chile,Household,Online,L,2023-11-02,621827,2023-11-16,42,52.07,34.56,2186.94,1451.52,735.42
North America,United States,Office Supplies,Online,M,2023-06-08,192337,2023-06-22,17,42.24,22.79,718.08,387.43,330.65
Europe,United Kingdom,Clothing,Online,L,2023-04-02,964974,2023-04-14,29,157.83,108.3,4577.07,3140.7,1436.37
Europe,Italy,Electronics,Offline,C,2023-01-17,139566,2023-01-31,296,49.12,33.43,14539.52,9895.28,4644.24
Europe,France,Household,Offline,H,2023-01-11,636562,2023-01-14,358,39.42,35.13,14112.36,12576.54,1535.82
Middle East,Turkey,Beverages,Online,L,2023-11-18,930838,2023-11-24,118,84.48,71.56,9968.64,8444.08,1524.56
Asia,China,Electronics,Offline,M,2023-07-25,118399,2023-08-08,388,75.79,57.89,29406.52,22461.32,6945.2
South America,Colombia,Beverages,Offline,L,2023-02-28,402158,2023-03-13,466,158.33,107.69,73781.78,50183.54,23598.24
South America,Colombia,Office Supplies,Offline,C,2023-03-01,355945,2023-03-04,206,44.75,32.22,9218.5,6637.32,2581.18
North America,Mexico,Electronics,Offline,L,2023-05-31,539917,2023-06-04,192,25.74,20.55,4942.08,3945.6,996.48
North America,Canada,Office Supplies,Online,C,2023-09-01,768693,2023-09-05,176,57.77,32.17,10167.52,5661.92,4505.6
Asia,Japan,Beverages,Online,L,2023-08-12,628979,2023-08-22,419,113.52,92.53,47564.88,38770.07,8794.81
North America,United States,Beverages,Online,L,2023-11-25,386467,2023-12-08,281,49.55,42.34,13923.55,11897.54,2026.01
Middle East,Saudi Arabia,Baby Food,Offline,M,2023-10-28,900765,2023-11-12,433,96.05,83.33,41589.65,36081.89,5507.76
Europe,Spain,Household,Online,H,2023-03-16,703609,2023-03-31,380,21.45,18.1,8151.0,6878.0,1273.0
Middle East,Turkey,Household,Online,M,2023-01-01,258738,2023-01-15,217,16.55,8.47,3591.35,1837.99,1753.36
Middle East,Turkey,Office Supplies,Online,M,2023-01-19,114092,2023-01-31,179,67.89,50.92,12152.31,9114.68,3037.63
Middle East,UAE,Beverages,Online,C,2023-04-16,811036,2023-04-24,272,188.61,107.55,51301.92,29253.6,22048.32
Sub-Saharan Africa,Kenya,Electronics,Offline,L,2023-06-02,539414,2023-06-12,115,189.56,104.79,21799.4,12050.85,9748.55
Europe,United Kingdom,Office Supplies,Offline,L,2023-08-23,738191,2023-08-31,155,66.27,48.83,10271.85,7568.65,2703.2
South America,Chile,Clothing,Online,L,2023-09-02,755734,2023-09-04,268,130.79,89.33,35051.72,23940.44,11111.28
Europe,Germany,Baby Food,Offline,C,2023-07-23,191584,2023-07-25,252,49.48,36.0,12468.96,9072.0,3396.96
South America,Chile,Office Supplies,Offline,H,2023-11-15,144375,2023-11-27,17,121.43,92.66,2064.31,1575.22,489.09
Sub-Saharan Africa,Ghana,Household,Online,H,2023-06-26,381055,2023-07-01,135,79.94,69.59,10791.9,9394.65,1397.25
Middle East,Turkey,Office Supplies,Offline,M,2023-09-23,633796,2023-10-06,11,34.07,21.88,374.77,240.68,134.09
Asia,India,Office Supplies,Offline,M,2023-11-23,152085,2023-12-08,386,149.24,74.95,57606.64,28930.7,28675.94
Sub-Saharan Africa,South Africa,Baby Food,Offline,C,2023-12-04,134394,2023-12-19,468,145.48,75.3,68084.64,35240.4,32844.24
North America,Mexico,Beverages,Online,M,2023-01-14,404757,2023-01-27,317,85.54,62.72,27116.18,19882.24,7233.94
South America,Colombia,Office Supplies,Offline,L,2023-07-04,174170,2023-07-10,218,136.65,116.37,29789.7,25368.66,4421.04
South America,Colombia,Beverages,Online,C,2023-12-03,522869,2023-12-11,154,23.44,12.2,3609.76,1878.8,1730.96
North America,United States,Electronics,Online,L,2023-04-22,871083,2023-04-26,187,6.32,5.65,1181.84,1056.55,125.29
Middle East,Turkey,Beverages,Online,L,2023-06-23,119890,2023-07-05,388,99.15,65.19,38470.2,25293.72,13176.48
Europe,France,Clothing,Online,M,2023-02-06,895189,2023-02-12,68,93.36,68.45,6348.48,4654.6,1693.88
Asia,South Korea,Office Supplies,Offline,M,2023-11-13,195566,2023-11-19,496,147.31,110.08,73065.76,54599.68,18466.08
Sub-Saharan Africa,South Africa,Office Supplies,Offline,C,2023-09-28,124154,2023-10-12,221,164.13,137.0,36272.73,30277.0,5995.73
North America,Mexico,Office Supplies,Offline,L,2023-11-22,885903,2023-12-05,216,100.79,81.37,21770.64,17575.92,4194.72
Asia,Japan,Beverages,Online,C,2023-01-12,290703,2023-01-20,288,6.33,3.43,1823.04,987.84,835.2
Asia,Japan,Baby Food,Online,H,2023-07-14,479360,2023-07-17,248,135.39,102.28,33576.72,25365.44,8211.28
South America,Brazil,Baby Food,Online,L,2023-01-09,236988,2023-01-24,448,92.65,74.89,41507.2,33550.72,7956.48
Asia,South Korea,Baby Food,Online,H,2023-08-25,227291,2023-08-27,385,62.55,47.59,24081.75,18322.15,5759.6
Europe,Spain,Household,Online,H,2023-01-22,624573,2023-01-26,262,8.89,7.73,2329.18,2025.26,303.92
Sub-Saharan Africa,Nigeria,Household,Online,C,2023-09-15,953609,2023-09-30,335,186.06,150.47,62330.1,50407.45,11922.65
Europe,Germany,Electronics,Online,L,2023-09-24,264650,2023-10-06,238,101.16,75.02,24076.08,17854.76,6221.32
Sub-Saharan Africa,South Africa,Electronics,Online,H,2023-02-19,445835,2023-03-04,149,186.38,142.71,27770.62,21263.79,6506.83
South America,Chile,Office Supplies,Offline,L,2023-06-05,175658,2023-06-08,224,166.19,137.82,37226.56,30871.68,6354.88
Europe,Spain,Beverages,Online,C,2023-03-15,509307,2023-03-18,450,171.05,128.88,76972.5,57996.0,18976.5
North America,Canada,Electronics,Online,C,2023-09-29,509314,2023-10-02,365,182.0,108.29,66430.0,39525.85,26904.15
Asia,Japan,Beverages,Online,L,2023-12-01,842071,2023-12-04,169,16.34,13.77,2761.46,2327.13,434.33
Europe,Italy,Electronics,Online,L,2023-06-07,557946,2023-06-12,17,133.45,81.83,2268.65,1391.11,877.54
Asia,China,Office Supplies,Online,C,2023-10-19,594003,2023-11-01,320,142.95,78.48,45744.0,25113.6,20630.4
North America,Mexico,Clothing,Offline,H,2023-07-31,252719,2023-08-08,269,71.87,50.94,19333.03,13702.86,5630.17
Middle East,Saudi Arabia,Clothing,Online,M,2023-05-16,933685,2023-05-18,371,198.42,132.06,73613.82,48994.26,24619.56
North America,United States,Household,Online,L,2023-04-24,957849,2023-04-30,310,129.82,86.69,40244.2,26873.9,13370.3
Middle East,UAE,Baby Food,Online,H,2023-07-13,156296,2023-07-18,186,185.43,134.91,34489.98,25093.26,9396.72
North America,Canada,Beverages,Online,H,2023-04-01,330774,2023-04-10,423,175.26,144.25,74134.98,61017.75,13117.23
Europe,Germany,Beverages,Offline,L,2023-07-20,425948,2023-07-23,63,159.52,89.99,10049.76,5669.37,4380.39
Middle East,Turkey,Clothing,Offline,C,2023-03-30,361566,2023-04-02,364,158.56,113.02,57715.84,41139.28,16576.56
Europe,United Kingdom,Clothing,Online,M,2023-03-15,659998,2023-03-23,411,54.93,43.91,22576.23,18047.01,4529.22
Asia,South Korea,Clothing,Online,M,2023-11-27,547763,2023-12-05,389,166.94,120.96,64939.66,47053.44,17886.22
Europe,United Kingdom,Office Supplies,Online,C,2023-08-04,645742,2023-08-19,191,26.91,16.95,5139.81,3237.45,1902.36
Middle East,Saudi Arabia,Household,Online,C,2023-05-06,474066,2023-05-12,465,91.06,62.26,42342.9,28950.9,13392.0
Sub-Saharan Africa,Ghana,Household,Online,L,2023-10-14,279541,2023-10-20,339,38.4,31.99,13017.6,10844.61,2172.99
South America,Chile,Electronics,Offline,C,2023-03-22,681678,2023-03-30,405,144.05,115.81,58340.25,46903.05,11437.2
Asia,Japan,Baby Food,Online,L,2023-07-03,980750,2023-07-14,38,181.06,95.96,6880.28,3646.48,3233.8
South America,Colombia,Clothing,Offline,M,2023-03-09,754134,2023-03-13,466,41.43,36.93,19306.38,17209.38,2097.0
Sub-Saharan Africa,South Africa,Household,Offline,M,2023-09-06,100477,2023-09-09,320,96.36,74.65,30835.2,23888.0,6947.2
Sub-Saharan Africa,Ghana,Office Supplies,Offline,L,2023-07-24,381754,2023-07-30,11,174.15,122.96,1915.65,1352.56,563.09
Middle East,UAE,Household,Online,H,2023-05-08,596283,2023-05-20,179,151.02,134.88,27032.58,24143.52,2889.06
Europe,United Kingdom,Clothing,Offline,M,2023-07-02,423171,2023-07-05,269,52.41,45.79,14098.29,12317.51,1780.78
Middle East,Saudi Arabia,Clothing,Online,H,2023-12-21,177018,2023-12-25,341,28.0,15.65,9548.0,5336.65,4211.35
Middle East,UAE,Office Supplies,Offline,H,2023-08-16,537318,2023-08-22,149,135.47,67.87,20185.03,10112.63,10072.4
Middle East,Saudi Arabia,Clothing,Online,L,2023-04-29,830066,2023-05-09,57,40.68,20.82,2318.76,1186.74,1132.02
Europe,Germany,Household,Online,C,2023-05-05,586511,2023-05-12,458,103.7,74.71,47494.6,34217.18,13277.42
South America,Colombia,Baby Food,Online,C,2023-03-15,829894,2023-03-22,397,46.49,36.66,18456.53,14554.02,3902.51
Europe,France,Clothing,Offline,C,2023-10-13,162526,2023-10-19,227,124.8,63.18,28329.6,14341.86,13987.74
Sub-Saharan Africa,Nigeria,Baby Food,Online,H,2023-02-15,818457,2023-02-19,382,140.94,97.27,53839.08,37157.14,16681.94
Asia,South Korea,Baby Food,Online,H,2023-08-07,461402,2023-08-10,430,89.66,46.35,38553.8,19930.5,18623.3
North America,United States,Baby Food,Online,M,2023-05-22,431361,2023-05-26,112,107.71,80.22,12063.52,8984.64,3078.88
Middle East,UAE,Office Supplies,Online,M,2023-03-14,477139,2023-03-16,419,7.72,5.93,3234.68,2484.67,750.01
Asia,South Korea,Beverages,Offline,M,2023-11-16,442673,2023-11-22,89,6.83,4.72,607.87,420.08,187.79
South America,Argentina,Electronics,Online,L,2023-03-01,678894,2023-03-10,59,158.41,111.36,9346.19,6570.24,2775.95
South America,Brazil,Office Supplies,Online,L,2023-09-13,276128,2023-09-20,394,113.02,90.67,44529.88,35723.98,8805.9
South America,Brazil,Household,Offline,H,2023-05-30,686605,2023-06-02,214,55.24,46.2,11821.36,9886.8,1934.56
Asia,South Korea,Baby Food,Offline,C,2023-11-17,532279,2023-12-01,256,180.31,154.67,46159.36,39595.52,6563.84
Sub-Saharan Africa,Nigeria,Beverages,Offline,H,2023-01-28,393047,2023-01-31,110,53.95,32.72,5934.5,3599.2,2335.3
South America,Chile,Electronics,Online,L,2023-01-09,533567,2023-01-11,186,24.91,22.15,4633.26,4119.9,513.36
Middle East,Saudi Arabia,Beverages,Offline,M,2023-12-23,428088,2024-01-06,182,57.78,32.3,10515.96,5878.6,4637.36
Asia,Japan,Beverages,Online,C,2023-07-24,102103,2023-07-30,163,191.2,130.22,31165.6,21225.86,9939.74
Middle East,UAE,Baby Food,Online,L,2023-11-10,833998,2023-11-21,493,129.17,84.18,63680.81,41500.74,22180.07
Europe,Italy,Beverages,Online,M,2023-08-07,685251,2023-08-11,415,62.56,50.22,25962.4,20841.3,5121.1
Asia,South Korea,Beverages,Offline,L,2023-07-28,793533,2023-08-02,366,44.82,31.65,16404.12,11583.9,4820.22
South America,Colombia,Beverages,Offline,L,2023-04-10,280813,2023-04-25,41,8.91,7.19,365.31,294.79,70.52
Europe,United Kingdom,Clothing,Online,M,2023-08-02,855312,2023-08-10,494,122.85,94.02,60687.9,46445.88,14242.02
Middle East,Turkey,Baby Food,Online,M,2023-01-04,115054,2023-01-10,139,74.17,59.25,10309.63,8235.75,2073.88
Middle East,UAE,Beverages,Offline,C,2023-06-16,193733,2023-06-19,336,27.37,24.11,9196.32,8100.96,1095.36
Europe,Spain,Household,Online,M,2023-08-14,482819,2023-08-29,416,71.37,57.18,29689.92,23786.88,5903.04
Middle East,Turkey,Household,Online,C,2023-05-01,955427,2023-05-08,417,109.45,78.78,45640.65,32851.26,12789.39
Sub-Saharan Africa,South Africa,Clothing,Online,C,2023-11-17,168321,2023-11-29,175,140.59,99.12,24603.25,17346.0,7257.25
North America,United States,Electronics,Offline,C,2023-10-28,520565,2023-11-01,91,193.04,118.94,17566.64,10823.54,6743.1
Middle East,Saudi Arabia,Beverages,Online,M,2023-11-14,507480,2023-11-18,413,148.19,125.64,61202.47,51889.32,9313.15
North America,Mexico,Household,Online,L,2023-10-12,985729,2023-10-14,372,40.6,21.17,15103.2,7875.24,7227.96
Asia,South Korea,Household,Online,M,2023-05-05,246913,2023-05-12,167,73.97,52.34,12352.99,8740.78,3612.21
Middle East,UAE,Household,Offline,L,2023-03-22,106183,2023-04-04,383,33.21,23.38,12719.43,8954.54,3764.89
Europe,Spain,Household,Online,M,2023-01-11,635009,2023-01-23,221,44.81,31.63,9903.01,6990.23,2912.78
South America,Chile,Office Supplies,Online,C,2023-07-18,524877,2023-08-02,254,150.1,89.97,38125.4,22852.38,15273.02
Asia,India,Electronics,Online,L,2023-08-22,255931,2023-08-27,367,20.64,14.19,7574.88,5207.73,2367.15
North America,Mexico,Clothing,Online,M,2023-02-20,442153,2023-03-05,133,175.55,152.99,23348.15,20347.67,3000.48
Sub-Saharan Africa,Kenya,Baby Food,Offline,C,2023-09-24,508804,2023-09-27,279,178.38,159.33,49768.02,44453.07,5314.95
South America,Brazil,Electronics,Online,C,2023-07-04,464231,2023-07-16,233,68.62,53.66,15988.46,12502.78,3485.68
Middle East,UAE,Baby Food,Online,H,2023-08-01,316363,2023-08-12,51,164.91,82.96,8410.41,4230.96,4179.45
South America,Chile,Office Supplies,Online,H,2023-06-15,450455,2023-06-25,401,76.42,55.91,30644.42,22419.91,8224.51
Middle East,UAE,Electronics,Offline,M,2023-07-11,300472,2023-07-18,62,117.45,81.87,7281.9,5075.94,2205.96
South America,Argentina,Beverages,Online,C,2023-01-03,524404,2023-01-14,230,198.24,157.44,45595.2,36211.2,9384.0
Europe,United Kingdom,Beverages,Online,L,2023-11-25,773988,2023-12-07,450,21.15,18.48,9517.5,8316.0,1201.5
Sub-Saharan Africa,Nigeria,Office Supplies,Online,C,2023-12-14,344421,2023-12-22,189,7.41,5.33,1400.49,1007.37,393.12
Europe,Spain,Clothing,Offline,L,2023-10-27,327848,2023-10-31,68,57.22,38.08,3890.96,2589.44,1301.52
South America,Brazil,Beverages,Offline,L,2023-04-08,872210,2023-04-17,216,65.51,54.22,14150.16,11711.52,2438.64
Asia,India,Beverages,Online,C,2023-03-21,119618,2023-03-23,458,165.06,119.65,75597.48,54799.7,20797.78
North America,United States,Electronics,Online,M,2023-07-11,375307,2023-07-15,193,90.61,79.17,17487.73,15279.81,2207.92
Sub-Saharan Africa,Ghana,Beverages,Offline,C,2023-11-24,837714,2023-12-08,36,136.7,106.76,4921.2,3843.36,1077.84
South America,Argentina,Beverages,Offline,L,2023-12-02,298438,2023-12-06,316,10.01,5.86,3163.16,1851.76,1311.4
North America,Mexico,Household,Online,M,2023-01-23,173761,2023-02-05,222,45.75,36.52,10156.5,8107.44,2049.06
Europe,Spain,Clothing,Online,C,2023-05-01,757189,2023-05-13,482,70.48,46.33,33971.36,22331.06,11640.3
North America,Canada,Electronics,Online,C,2023-12-01,806551,2023-12-10,330,173.21,103.65,57159.3,34204.5,22954.8
South America,Chile,Beverages,Online,H,2023-11-18,699036,2023-12-02,485,47.28,38.44,22930.8,18643.4,4287.4
Middle East,Turkey,Clothing,Online,L,2023-07-09,670142,2023-07-13,235,30.25,16.23,7108.75,3814.05,3294.7
South America,Chile,Office Supplies,Online,M,2023-12-28,347627,2023-12-31,223,86.26,61.45,19235.98,13703.35,5532.63
South America,Argentina,Baby Food,Online,L,2023-10-14,455113,2023-10-19,410,152.48,123.25,62516.8,50532.5,11984.3
Europe,France,Office Supplies,Offline,L,2023-03-18,374105,2023-03-20,490,170.1,91.88,83349.0,45021.2,38327.8
Asia,Japan,Household,Offline,L,2023-06-02,147490,2023-06-14,60,51.46,34.28,3087.6,2056.8,1030.8
Asia,India,Office Supplies,Offline,C,2023-09-01,460781,2023-09-10,290,80.49,52.58,23342.1,15248.2,8093.9
North America,Mexico,Beverages,Offline,H,2023-11-22,347992,2023-11-24,392,179.39,108.22,70320.88,42422.24,27898.64
Sub-Saharan Africa,Kenya,Electronics,Offline,M,2023-01-14,186792,2023-01-25,277,26.43,13.99,7321.11,3875.23,3445.88
Middle East,UAE,Electronics,Online,M,2023-07-04,772853,2023-07-10,235,92.49,58.35,21735.15,13712.25,8022.9
North America,Mexico,Baby Food,Online,M,2023-12-05,791084,2023-12-10,433,125.96,91.78,54540.68,39740.74,14799.94
Middle East,UAE,Beverages,Offline,H,2023-10-15,455665,2023-10-30,34,153.39,114.67,5215.26,3898.78,1316.48
Sub-Saharan Africa,Ghana,Beverages,Online,H,2023-02-14,113073,2023-02-27,71,176.39,115.86,12523.69,8226.06,4297.63
Asia,South Korea,Office Supplies,Offline,H,2023-01-23,296520,2023-01-31,85,44.56,39.56,3787.6,3362.6,425.0
South America,Colombia,Electronics,Offline,M,2023-06-02,232818,2023-06-11,450,185.19,165.27,83335.5,74371.5,8964.0
North America,Canada,Baby Food,Online,C,2023-09-06,437935,2023-09-10,113,162.52,115.65,18364.76,13068.45,5296.31
Middle East,UAE,Clothing,Online,H,2023-01-14,787792,2023-01-21,217,48.47,24.76,10517.99,5372.92,5145.07
North America,Mexico,Clothing,Offline,M,2023-05-23,457389,2023-06-02,421,100.32,84.0,42234.72,35364.0,6870.72
South America,Chile,Beverages,Offline,L,2023-01-06,631921,2023-01-13,130,46.7,24.03,6071.0,3123.9,2947.1
North America,Mexico,Beverages,Online,M,2023-11-06,966319,2023-11-18,263,34.33,21.45,9028.79,5641.35,3387.44
Europe,Spain,Clothing,Online,C,2023-04-12,941124,2023-04-14,71,97.22,87.34,6902.62,6201.14,701.48
Europe,Italy,Baby Food,Online,M,2023-07-18,339687,2023-07-24,406,70.47,42.72,28610.82,17344.32,11266.5
Sub-Saharan Africa,Nigeria,Baby Food,Online,C,2023-01-29,701904,2023-02-08,460,117.58,86.6,54086.8,39836.0,14250.8
South America,Chile,Office Supplies,Online,M,2023-05-05,390713,2023-05-11,406,112.76,63.14,45780.56,25634.84,20145.72
Europe,Italy,Baby Food,Online,M,2023-01-15,671409,2023-01-25,70,197.18,122.74,13802.6,8591.8,5210.8
